ID,AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,TYPE_OF_VEHICLE,OUTCOME
816393,40-64,female,20-29y,university,middle class,0.638049662821554,0.0,after 2015,0.0,0.0,37379,11000.0,0,0,0,Sports Car,0.0
251762,26-39,male,20-29y,high school,middle class,0.4757405190780448,1.0,before 2015,1.0,0.0,10238,9000.0,0,0,0,HatchBack,1.0
481952,40-64,male,20-29y,none,middle class,0.8398166910515057,1.0,before 2015,1.0,1.0,10238,12000.0,0,0,0,Sedan,1.0
3506,40-64,male,20-29y,high school,upper class,0.6825271575117527,1.0,before 2015,0.0,1.0,92099,6000.0,1,0,0,Sedan,1.0
498013,40-64,female,20-29y,none,working class,0.5721841968041733,1.0,after 2015,1.0,1.0,32122,15000.0,0,0,1,Sedan,0.0
695325,40-64,female,20-29y,high school,upper class,0.6390518983205546,1.0,after 2015,1.0,0.0,10238,17000.0,0,0,0,SUV,1.0
398687,26-39,male,20-29y,none,poverty,0.4396589309097883,1.0,before 2015,0.0,1.0,34135,10000.0,1,3,0,Sports Car,1.0
702922,40-64,female,30y+,university,upper class,0.7524268442851743,1.0,before 2015,1.0,0.0,10238,12000.0,1,1,0,Sports Car,1.0
481986,26-39,male,20-29y,university,upper class,0.8024963824867885,1.0,before 2015,0.0,0.0,10238,11000.0,0,0,0,Sports Car,0.0
668442,40-64,female,0-9y,high school,upper class,0.3610951662373093,1.0,before 2015,1.0,1.0,10238,13000.0,0,0,0,Sedan,0.0
596611,16-25,female,10-19y,university,upper class,0.4544547548966779,0.0,after 2015,1.0,1.0,36573,13000.0,1,0,0,Sedan,1.0
242744,65+,female,20-29y,high school,middle class,0.5992073734518772,0.0,before 2015,0.0,1.0,10238,13000.0,0,0,0,Sedan,0.0
445414,16-25,female,20-29y,high school,working class,0.464386471741705,1.0,before 2015,1.0,1.0,10238,15000.0,0,0,2,HatchBack,0.0
989773,40-64,female,10-19y,university,upper class,0.7483134105404909,1.0,before 2015,1.0,1.0,10238,12000.0,0,0,0,Sports Car,0.0
669014,16-25,female,0-9y,high school,upper class,0.5448125262865213,1.0,before 2015,1.0,1.0,10238,16000.0,4,0,1,HatchBack,0.0
285551,65+,male,0-9y,university,upper class,0.7963081130052241,1.0,before 2015,1.0,0.0,35352,11000.0,1,0,0,Sedan,0.0
193319,26-39,female,20-29y,high school,upper class,0.8274754191443595,1.0,after 2015,1.0,1.0,10238,9000.0,0,0,0,Sedan,0.0
494738,40-64,male,10-19y,university,upper class,0.6021435647882516,1.0,before 2015,0.0,0.0,10238,10000.0,0,0,0,Sports Car,1.0
544677,40-64,male,20-29y,high school,upper class,0.6209662379999495,1.0,before 2015,1.0,0.0,10238,3000.0,1,0,2,HatchBack,0.0
137200,40-64,male,30y+,high school,working class,0.7098993159713463,0.0,after 2015,1.0,1.0,35401,12000.0,4,0,0,Sports Car,0.0
504224,26-39,male,20-29y,high school,working class,0.5646818142708988,1.0,before 2015,0.0,0.0,10238,11000.0,0,0,0,Sedan,0.0
616317,26-39,male,0-9y,university,working class,0.7109293376575442,1.0,after 2015,1.0,1.0,10238,11000.0,4,0,1,Sedan,0.0
518175,26-39,female,10-19y,high school,poverty,0.7833717271313801,1.0,before 2015,1.0,0.0,10238,10000.0,0,0,0,HatchBack,0.0
260383,40-64,male,0-9y,high school,working class,0.6329859479125803,1.0,before 2015,1.0,0.0,10238,12000.0,0,0,0,HatchBack,0.0
41610,65+,male,10-19y,university,poverty,0.2415867471525601,1.0,after 2015,1.0,0.0,10238,14000.0,0,0,1,SUV,1.0
319708,65+,male,20-29y,high school,middle class,0.7967656963179575,0.0,before 2015,1.0,0.0,10238,16000.0,1,0,0,SUV,0.0
215491,65+,male,20-29y,high school,working class,0.5740555815958409,0.0,after 2015,1.0,1.0,10238,12000.0,1,0,0,Sports Car,0.0
365902,40-64,female,20-29y,high school,poverty,0.5319250876941097,1.0,before 2015,0.0,0.0,10238,9000.0,0,0,0,Sedan,0.0
702492,16-25,male,20-29y,none,upper class,0.7211769881434515,0.0,before 2015,0.0,1.0,10238,11000.0,0,0,1,HatchBack,1.0
825346,65+,male,10-19y,none,upper class,0.7708289126954024,1.0,before 2015,1.0,0.0,92100,14000.0,0,0,0,Sedan,1.0
359584,65+,male,20-29y,high school,upper class,0.5718510380796449,0.0,before 2015,0.0,0.0,10238,13000.0,11,0,4,SUV,1.0
38466,16-25,male,0-9y,university,upper class,0.5180510881353814,1.0,before 2015,0.0,0.0,10238,8000.0,0,0,0,SUV,1.0
796728,40-64,male,10-19y,high school,upper class,0.6239133540578979,1.0,after 2015,1.0,0.0,10238,10000.0,1,0,0,HatchBack,1.0
112018,65+,female,20-29y,high school,working class,0.6200597205879093,1.0,before 2015,1.0,0.0,34483,17000.0,1,0,0,Sports Car,1.0
21391,65+,female,10-19y,none,working class,0.5429705489920132,1.0,after 2015,1.0,0.0,32647,14000.0,0,0,2,HatchBack,1.0
144812,16-25,male,30y+,high school,upper class,0.7711676955641495,1.0,before 2015,1.0,0.0,10238,15000.0,1,0,0,Sedan,1.0
450997,40-64,male,0-9y,university,poverty,0.449904785509542,1.0,after 2015,1.0,1.0,32765,12000.0,0,0,0,HatchBack,1.0
114060,40-64,male,10-19y,high school,working class,0.5933758971844553,1.0,before 2015,0.0,0.0,10238,11000.0,1,0,1,HatchBack,1.0
470642,16-25,female,0-9y,none,upper class,0.3970889328152642,1.0,before 2015,1.0,0.0,10238,3000.0,0,0,1,Sports Car,0.0
329847,16-25,male,20-29y,high school,upper class,0.7044553429616924,1.0,before 2015,1.0,0.0,10238,11000.0,1,0,0,SUV,1.0
244512,40-64,female,10-19y,high school,middle class,0.7828737391095408,1.0,before 2015,0.0,0.0,10238,11000.0,0,0,1,Sports Car,1.0
157181,40-64,female,10-19y,high school,working class,0.5857837830464722,1.0,after 2015,1.0,1.0,31474,5000.0,0,0,0,Sedan,1.0
468500,65+,female,10-19y,none,upper class,0.6351896298074164,1.0,after 2015,1.0,0.0,32530,16000.0,0,0,0,Sports Car,1.0
100347,16-25,male,20-29y,university,working class,0.3855530613685751,1.0,after 2015,0.0,0.0,10238,16000.0,3,0,0,Sports Car,1.0
6363,26-39,female,20-29y,high school,upper class,0.4734421046437904,0.0,before 2015,1.0,0.0,10238,13000.0,1,0,0,Sports Car,0.0
39248,40-64,male,10-19y,high school,working class,0.7360047999782123,0.0,after 2015,0.0,0.0,10238,10000.0,1,0,2,HatchBack,0.0
105459,65+,male,0-9y,university,working class,0.6039688884274897,0.0,after 2015,1.0,0.0,35057,12000.0,0,0,1,Sports Car,0.0
371164,65+,male,20-29y,none,middle class,0.6460369364877186,1.0,before 2015,0.0,1.0,10238,3000.0,0,0,0,HatchBack,1.0
446699,16-25,female,10-19y,high school,upper class,0.5989314319262649,1.0,after 2015,1.0,1.0,10238,8000.0,0,0,0,Sports Car,0.0
120066,26-39,male,20-29y,university,upper class,0.5184632218902305,1.0,before 2015,0.0,0.0,33805,13000.0,0,0,0,Sedan,1.0
56280,26-39,male,20-29y,high school,upper class,0.7558665293484473,1.0,before 2015,1.0,1.0,33819,12000.0,2,0,0,Sports Car,0.0
637535,16-25,male,0-9y,none,upper class,0.5581488914283443,1.0,before 2015,0.0,0.0,32700,12000.0,0,0,1,HatchBack,0.0
225868,16-25,male,0-9y,high school,upper class,0.7089700365418303,1.0,before 2015,1.0,1.0,10238,10000.0,0,0,0,HatchBack,0.0
95378,65+,female,0-9y,university,upper class,0.5477700853552376,0.0,before 2015,1.0,0.0,24755,9000.0,0,0,0,Sedan,1.0
487015,65+,female,10-19y,high school,middle class,0.5420912363121041,1.0,before 2015,1.0,1.0,92007,13000.0,0,0,0,Sports Car,0.0
85155,65+,female,0-9y,none,upper class,0.5583927156933922,1.0,before 2015,0.0,0.0,10238,9000.0,0,0,1,HatchBack,1.0
499635,65+,female,20-29y,none,upper class,0.4895251103986035,1.0,after 2015,1.0,0.0,10238,5000.0,0,1,0,Sedan,0.0
581409,40-64,male,10-19y,high school,middle class,0.3989849087981731,1.0,before 2015,1.0,0.0,30880,10000.0,1,0,1,HatchBack,1.0
929902,65+,male,10-19y,none,upper class,0.6294680479429978,1.0,before 2015,0.0,0.0,10238,14000.0,0,0,0,Sports Car,0.0
977866,26-39,male,30y+,high school,upper class,0.4429277068592294,1.0,after 2015,1.0,0.0,10238,14000.0,0,0,0,HatchBack,0.0
189829,65+,male,0-9y,high school,working class,0.7420577816944032,1.0,before 2015,0.0,1.0,33178,11000.0,1,0,0,Sports Car,0.0
10491,65+,female,10-19y,none,upper class,0.6509611619063599,0.0,after 2015,1.0,0.0,10238,15000.0,0,0,0,Sedan,0.0
263312,16-25,male,10-19y,none,middle class,0.7145505617431087,1.0,after 2015,1.0,1.0,10238,10000.0,0,0,0,Sports Car,0.0
43755,40-64,female,20-29y,none,upper class,0.6604761562988755,1.0,after 2015,0.0,0.0,10238,8000.0,0,0,0,Sports Car,1.0
830232,40-64,male,20-29y,high school,working class,0.6254741382485997,1.0,before 2015,1.0,0.0,10238,9000.0,0,0,0,Sports Car,0.0
75487,65+,male,10-19y,high school,upper class,0.6729117932668978,1.0,after 2015,0.0,0.0,10238,12000.0,0,0,1,HatchBack,0.0
154955,40-64,female,20-29y,high school,working class,0.5527599659895664,1.0,before 2015,1.0,1.0,10238,7000.0,2,0,1,SUV,1.0
456887,26-39,male,10-19y,university,middle class,0.6172301214070569,1.0,before 2015,1.0,1.0,10238,13000.0,0,0,2,Sedan,1.0
316689,40-64,male,10-19y,university,middle class,0.4770759476953151,1.0,before 2015,1.0,0.0,10238,12000.0,0,0,0,SUV,1.0
498613,26-39,male,0-9y,university,working class,0.5510496092969257,1.0,after 2015,1.0,1.0,10238,12000.0,2,0,0,SUV,1.0
444361,65+,female,30y+,high school,upper class,0.8420048137207843,1.0,after 2015,0.0,1.0,33163,9000.0,0,1,0,Sports Car,0.0
924160,40-64,male,10-19y,high school,working class,0.5069763355902174,1.0,before 2015,0.0,1.0,34924,13000.0,0,0,0,SUV,0.0
85405,65+,male,20-29y,university,upper class,0.6013352052299368,1.0,after 2015,0.0,0.0,10238,13000.0,0,0,0,HatchBack,0.0
